title,description,state,labels,assignee
Bug 4/5 — Hallucination in Summaries (Fixed),"The summarizer was adding invented names/IDs/dates from training memory. Fix: rewrote the summarizer prompt in src/answer_summarizer.py to strictly ground the LLM to the returned rows — framed the data block as the ONLY facts usable, added explicit rules against inventing or inferring values, and filtered URI columns before sending to the LLM.",closed,bug
Bug 7 — Domain Selector Grouped and Moved to NL→SPARQL Tab (Fixed),"Domain selector was in the sidebar and caused confusion. Fix: moved it into the NL→SPARQL tab next to the translate button, grouped under Wikidata and DBpedia section headers, with an on_change callback that snaps separator selections to the first valid domain. Auto option removed.",closed,bug
Bug 8 — Domain Tag on SPARQL→NL Cards (Fixed),"Removed the domain pill from the SPARQL→NL example cards. The NL→SPARQL cards keep their domain pill; SPARQL→NL cards do not need it as the query already describes the domain.",closed,bug
Bug 9 — Duplicate Rows in Results (Fixed),"Multi-valued properties in Wikidata/DBpedia caused Cartesian-product-style row duplication. Fix: added automatic DISTINCT injection inside clean_sparql() in src/sparql_executor.py — rewrites SELECT to SELECT DISTINCT when the query does not already use DISTINCT and does not contain aggregation functions or GROUP BY.",closed,bug
Bug 10 — Sports Domain Returns Wrong Athletes (Fixed),"Tennis player queries returned basketball players; soccer player queries returned no results. Root cause: incorrect entity IDs in configs/wikidata_sports.yaml. Fix: corrected entity IDs — wd:Q847 for tennis, wd:Q5372 for basketball, wd:Q2736 for association football, wd:Q937857 for football player — and rewrote few-shot examples using wdt:P641 for sport and wdt:P106 for occupation.",closed,bug
Bug — Knowledge Graph Rendering Inaccurate (Fixed),"Raw results were valid but the graph was not accurate — single-column list queries caused PyVIS to draw each row as a separate node with meaningless connections, and URIs and labels appeared as duplicate nodes. Fix: introduced two rendering modes — Mode 1 relational graph for 2+ URI columns, Mode 2 star graph for single URI column placing a central concept node and connecting each result to it.",closed,bug
Bug — Results Table Shown After Summary (Fixed),"The results table was only shown after the LLM summary finished generating. Fix: results table now appears as soon as the query returns, before the LLM summarizes.",closed,bug
Bug — SPARQL→NL Quick Examples Only Showed Current Domain (Fixed),"Example cards in the SPARQL→NL tab previously only showed examples from the currently selected domain. Fix: cards now pull one example from each domain config so you get a variety across Wikidata and DBpedia, with a domain tag on each card.",closed,bug
Bug — Sidebar Only Showed One Endpoint (Fixed),"Sidebar was only showing the endpoint for the currently selected domain. Fix: now lists both Wikidata and DBpedia endpoints with the active one bold and the inactive one dimmed.",closed,bug
Bug — No Readable Output for Zero Results (Fixed),"Zero-result queries showed a raw technical message. Fix: replaced with a friendly explanation and an optional expander showing the generated SPARQL for power users. Implemented by Jumainah on 2026-04-22.",closed,bug
